"cnpj","nome_coop","auditorIndependente"
8624548,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
10520232,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE RONDÔNIA - CRESOL RONDÔNIA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
6139650,"COOPERATIVA DE CRéDITO COM INTERAçãO SOLIDáRIA DO RIO GRANDE DO SUL - CRESOL RIO GRANDE DO SUL","ANEND AUDITORES INDEPENDENTES"
6126780,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE DAS ARAUCÁRIAS- CRESOL VALE DAS ARAUCÁRIAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
7512780,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
5277312,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
7268499,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA INTEGRAÇÃO - CRESOL INTEGRAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
2934201,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
7925729,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA NORTE PARANAENSE - CRESOL NORTE PARANAENSE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
3965737,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA OESTE CATARINENSE - CRESOL OESTE CATARINENSE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
2448310,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA PROGRESSO - CRESOL PROGRESSO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
4350225,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA TRADIÇÃO  CRESOL TRADIÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
8560508,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
2446089,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS PINHAIS - CRESOL UNIÃO DOS PINHAIS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
5231945,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES  CRESOL UNIÃO DOS VALES","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
4663561,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA VALE DAS ÁGUAS - CRESOL VALE DAS ÁGUAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
53935029,"COOPERATIVA DE CRÉDITO COOCRELIVRE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
19449602,"COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER","BAUER AUDITORES ASSOCIADOS"
67096909,"COOPERATIVA DE CRÉDITO CREDICOCAPEC","MOORE PRISMA AUDITORES INDEPENDENTES"
38588174,"COOPERATIVA DE CRéDITO CREDICOPE LTDA. - SICOOB CREDICOPE","COOPERAUDI AUDITORES INDEPENDENTES"
41931445,"COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR","BAUER AUDITORES ASSOCIADOS"
1152097,"COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA","BAUER AUDITORES ASSOCIADOS"
2197569,"COOPERATIVA DE CRÉDITO CREDSAOPAULO - SICOOB CREDSAOPAULO","BAUER AUDITORES ASSOCIADOS"
9512539,"COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
2405189,"COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
3612764,"COOPERATIVA DE CRÉDITO DA REGIÃO DE FRONTEIRAS DE RO/MT LTDA. - SICOOB FRONTEIRAS","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES."
10218474,"COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
10311218,"COOPERATIVA DE CRÉDITO DA REGIÃO DO SUDOESTE DO PARANÁ - EVOLUA","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
9590601,"COOPERATIVA DE CRÉDITO DA SERRA CATARINENSE - CREDICOMIN","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
57987273,"COOPERATIVA DE CRÉDITO DE CAPITAL E EMPRÉSTIMO DOS EMPREGADOS CELETISTAS DE COOPERATIVAS DOS ESTADOS DE SÃO PAULO E MINAS GERAIS - COCREUNI","MOORE PRISMA AUDITORES INDEPENDENTES"
10209619,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
71261184,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CAPARAÓ LTDA. - SICOOB SAÚDE","BAUER AUDITORES ASSOCIADOS"
10143743,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
66262643,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE POMPÉU LTDA. - SICOOB CREDIPÉU","CONFEDERACAO NACIONAL DE AUDITORIA COOPERATIVA - CNAC"
6910457,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO","MOORE PRISMA AUDITORES INDEPENDENTES"
1727929,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS","SACHO - AUDITORES INDEPENDENTES"
16779741,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
3326437,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS","BAUER AUDITORES ASSOCIADOS"
10319386,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL DE MATO GROSSO DO SUL - SICOOB CENTRO SUL MS","BAUER AUDITORES ASSOCIADOS"
5247312,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CERRADO MATO-GROSSENSE - SICOOB CERRADO MT","BAUER AUDITORES ASSOCIADOS"
10262276,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA","HELIO MAZZI JUNIOR"
5241619,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT","BAUER AUDITORES ASSOCIADOS"
3427097,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
1637949,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA","APPROACH AUDITORES INDEPENDENTES S/S"
7946216,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB DO GRANDE ABC - SICOOB GRANDE ABC","RUSSELL BEDFORD BRASIL AUDITORES INDEPENDENTES S/S"
