SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
70119680;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE";"RUA DR. ANTÔNIO MOACIR DANTAS CAVALCANTI, 110";"PARQUE ESPERANÇA";"RENASCER";"58108546";"CABEDELO";"PB";"Brasil";"83";"30442500";"https://www.sicredinne.com.br";
87437687;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE";"R. MANOELITO DE ORNELLAS, 55";"18º E 19º ANDAR";"PRAIA DE BELAS";"90110230";"PORTO ALEGRE";"RS";"Brasil";"51";"33585400";-;
80230774;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ";"R ALCIDES MUNHOZ, 165";"1º ANDAR";"MERCÊS";"80810040";"CURITIBA";"PR";"Brasil";"41";"32815400";-;
73085573;"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO  - SICOOB UNIMAIS";"RUA DO PARAISO  N  41";-;"PARAISO";"04103000";"SAO PAULO";"SP";"Brasil";"11";"32525210";"https://www.sicoobunimais.com.br/";
86774775;"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT";"RUA DO OUVIDOR 121";"SALA 2101";"CENTRO";"20040031";"RIO DE JANEIRO";"RJ";"Brasil";"21";"21227800";"https://www.unicred.com.br/centralrjmt";
51010858;"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC";"AV  MONTEIRO LOBATO  3411   ANTIGO 3285";"HITACHI PG   SETOR  COOPERATIVA";"SAO ROQUE";"07190904";"GUARULHOS";"SP";"Brasil";"11";"976238493";"https://www.coopermc.com.br";
3128973;"COOPERATIVA DE CREDITO , POUPANÇA E INVESTIMENTO DO ESTADO DO PIAUÍ - SICREDI PIAUÍ";"RUA SAO PEDRO 1465";"CENTRO";"CENTRO";"64001260";"TERESINA";"PI";"Brasil";"86";"30897000";"https://www.sicredi.com.br/piaui/";
54603022;"COOPERATIVA DE CREDITO CECRES - SICOOB CECRES";"AV IPIRANGA  324";"BL C EDF  INVESTIMENTO 3  E 15  ANDAR";"REPUBLICA";"01046010";"SAO PAULO";"SP";"Brasil";"11";"21929111";"https://www.sicoobcecres.com.br/";
31804966;"COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO";"RUA HERMANN MIERTSCHINK, 90";-;"CENTRO";"29645000";"SANTA MARIA DE JETIBA";"ES";"Brasil";"27";"32631146";"https://www.sicoobes.com.br";
4120633;"COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ";"AV. DAS AMERICAS, 3500, BLOCO 2, SALA 204";"COND. LE MONDE";"BARRA DA TIJUCA";"22640102";"RIO DE JANEIRO";"RJ";"Brasil";"21";"21571600";"https://www.sicoobempresas.com.br";
971300;"COOPERATIVA DE CREDITO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA";"AVENIDA 28 DE NOVEMBRO  71";"CENTRO";"CENTRO";"85660000";"DOIS VIZINHOS";"PR";"Brasil";"46";"35361308";"https://www.cresol.com.br";
49389307;"COOPERATIVA DE CREDITO COOPLIVRE";"RUA BENTO DIAS, 608";-;"CENTRO";"13360000";"CAPIVARI";"SP";"Brasil";"19";"34929444";"https://www.cooplivre.com.br";
429890;"COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO";"RUA TIRADENTES";"525";"CENTRO";"38970000";"CAMPOS ALTOS";"MG";"Brasil";"37";"34269500";"https://www.sicoobcrediagro.com.br";
966246;"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA";"RUA SALVADOR DE FREITAS N 1.243";-;"CENTRO";"18730000";"ITAI";"SP";"Brasil";"14";"37613255";"https://www.crediceripa.com.br";
54037916;"COOPERATIVA DE CREDITO CREDICITRUS";"RUA PRUDENTE DE MORAES, 534";-;"CENTRO";"14700120";"BEBEDOURO";"SP";"Brasil";"17";"33459000";"https://www.credicitrus.com.br";
66788142;"COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA";"RUA HENRIQUE VASQUES, 262";-;"CENTRO";"19880000";"CANDIDO MOTA";"SP";"Brasil";"18";"33419190";"https://www.sicoobcredimota.com.br";
22656789;"COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE";"R PASCHOAL BERNARDINO  101";-;"CENTRO";"36880049";"MURIAE";"MG";"Brasil";"32";"37293200";-;
5463934;"COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER";"RUA SAO PAULO  3069";"TERREO";"CENTRO";"15500010";"VOTUPORANGA";"SP";"Brasil";"17";"34265510";-;
1009908;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED";"RUA BENEDITO VALADARES 51";-;"CENTRO";"35660630";"PARA DE MINAS";"MG";"Brasil";"37";"32320600";"https://www.sicoobascicred.com.br";
4181542;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT";"AV  LIMA GUIMARAES  39";-;"CENTRO";"35650000";"PITANGUI";"MG";"Brasil";"37";"32714120";-;
73422792;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA";"AV. AROEIRA, 880";-;"SETOR AEROPORTO";"76350000";"RUBIATABA";"GO";"Brasil";"62";"33256500";-;
2173447;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM";"PRACA JK 333";-;"CENTRO";"39740000";"GUANHAES";"MG";"Brasil";"33";"34213232";"https://www.sicoobcredicenm.coop.br";
